"time","potential_energy","kinetic_energy","temperature","pressure","volume"
0,100002.24572564186,413.721283047017,319.04985998659174,0.7983354904912835,994.6638355813266
100,100000.41706728263,452.84820625679777,310.48605092882394,1.0708079786637705,1008.4914368287449
200,99997.35870810127,455.5180966982776,303.38031263148565,0.9244643421491747,984.0754063267868
300,100000.46844615311,438.1426470128375,321.92502413973995,0.9614203583531534,989.8831188920359
400,99999.18641667959,478.0229979365787,309.85703451407846,1.063240790344981,987.2565433035656
520,100000.61364488008,532.5599683466977,303.7512698373852,0.9770972531106146,1002.705010475788
620,99999.67668884303,514.1267816633737,313.0596615885606,0.822401942614716,998.3339230150974
720,99999.44742869581,476.0788750941011,308.17943856608764,0.9241595124556286,1016.7000924500248
820,99998.25388216761,471.8026868347614,307.6073109332578,0.9471030700459304,1001.963893463662
920,100000.36581545803,465.79108778453553,312.09544930782124,0.9925634014238018,1016.6338985157183
1040,99997.40634599242,478.9226689197963,313.36821882218857,0.944872256189348,991.0809262460386
1140,99995.10862445597,427.1053669454636,313.1342228110018,1.0238330912282665,1004.4505060215455
1240,99997.04279187605,508.49045676815774,314.0328852973754,0.9627615904203467,989.6439192182605
1340,99998.649494481,450.39199327889173,311.38741825028075,0.8956259401547133,998.3856095422163
1440,99998.4203083226,469.17285131145866,314.32835758263724,0.8402704123021536,1007.3675050926613
1560,99997.65247856008,457.12202419528774,298.5578293545228,0.9983477779604126,989.9891023922144
1660,100002.11177360237,469.26044569991836,308.78745211350946,0.919786198230625,976.4598711109502
1760,99999.49931681102,405.7975963842931,311.1930175792711,0.9212514085104244,997.1447051072702
1860,100000.14261281055,541.1632760182486,322.9353967746742,1.029949266130518,1011.1892509130674
1980,99999.03592539049,471.59815730434934,309.8022102529152,0.8835990130260957,1011.336889896945
